date,pollution,dew,temp,press,wnd_dir,wnd_spd,snow,rain
2010-01-02 00:00:00,129.0,-16,-4.0,1020.0,SE,1.79,0,0
2010-01-02 01:00:00,148.0,-15,-4.0,1020.0,SE,2.68,0,0
2010-01-02 02:00:00,159.0,-11,-5.0,1021.0,SE,3.57,0,0
2010-01-02 03:00:00,181.0,-7,-5.0,1022.0,SE,5.36,1,0
2010-01-02 04:00:00,138.0,-7,-5.0,1022.0,SE,6.25,2,0
2010-01-02 05:00:00,109.0,-7,-6.0,1022.0,SE,7.14,3,0
2010-01-02 06:00:00,105.0,-7,-6.0,1023.0,SE,8.93,4,0
2010-01-02 07:00:00,124.0,-7,-5.0,1024.0,SE,10.72,0,0
2010-01-02 08:00:00,120.0,-8,-6.0,1024.0,SE,12.51,0,0
2010-01-02 09:00:00,132.0,-7,-5.0,1025.0,SE,14.3,0,0
2010-01-02 10:00:00,140.0,-7,-5.0,1026.0,SE,17.43,1,0
2010-01-02 11:00:00,152.0,-8,-5.0,1026.0,SE,20.56,0,0
2010-01-02 12:00:00,148.0,-8,-5.0,1026.0,SE,23.69,0,0
2010-01-02 13:00:00,164.0,-8,-5.0,1025.0,SE,27.71,0,0
2010-01-02 14:00:00,158.0,-9,-5.0,1025.0,SE,31.73,0,0
2010-01-02 15:00:00,154.0,-9,-5.0,1025.0,SE,35.75,0,0
2010-01-02 16:00:00,159.0,-9,-5.0,1026.0,SE,37.54,0,0
2010-01-02 17:00:00,164.0,-8,-5.0,1027.0,SE,39.33,0,0
2010-01-02 18:00:00,170.0,-8,-5.0,1027.0,SE,42.46,0,0
2010-01-02 19:00:00,149.0,-8,-5.0,1028.0,SE,44.25,0,0
2010-01-02 20:00:00,154.0,-7,-5.0,1028.0,SE,46.04,0,0
2010-01-02 21:00:00,164.0,-7,-5.0,1027.0,SE,49.17,1,0
2010-01-02 22:00:00,156.0,-8,-6.0,1028.0,SE,52.3,2,0
2010-01-02 23:00:00,126.0,-8,-6.0,1027.0,SE,55.43,3,0
2010-01-03 00:00:00,90.0,-7,-6.0,1027.0,SE,58.56,4,0
2010-01-03 01:00:00,63.0,-8,-6.0,1026.0,SE,61.69,5,0
2010-01-03 02:00:00,65.0,-8,-7.0,1026.0,SE,65.71,6,0
2010-01-03 03:00:00,55.0,-8,-7.0,1025.0,SE,68.84,7,0
2010-01-03 04:00:00,65.0,-8,-7.0,1024.0,SE,72.86,8,0
2010-01-03 05:00:00,83.0,-9,-8.0,1024.0,SE,76.88,9,0
2010-01-03 06:00:00,91.0,-10,-8.0,1024.0,SE,80.9,10,0
2010-01-03 07:00:00,86.0,-10,-9.0,1024.0,SE,84.92,11,0
2010-01-03 08:00:00,82.0,-10,-9.0,1024.0,SE,89.84,12,0
2010-01-03 09:00:00,86.0,-11,-9.0,1023.0,SE,93.86,13,0
2010-01-03 10:00:00,78.0,-11,-9.0,1023.0,SE,97.88,15,0
2010-01-03 11:00:00,98.0,-11,-9.0,1022.0,SE,102.8,16,0
2010-01-03 12:00:00,107.0,-11,-9.0,1021.0,SE,105.93,17,0
2010-01-03 13:00:00,90.0,-11,-9.0,1020.0,SE,111.74,19,0
2010-01-03 14:00:00,96.0,-11,-9.0,1020.0,SE,116.66,20,0
2010-01-03 15:00:00,95.0,-11,-9.0,1020.0,SE,121.58,21,0
2010-01-03 16:00:00,86.0,-11,-9.0,1020.0,SE,124.71,22,0
2010-01-03 17:00:00,70.0,-11,-9.0,1020.0,SE,127.84,23,0
2010-01-03 18:00:00,61.0,-11,-9.0,1021.0,cv,0.89,24,0
2010-01-03 19:00:00,53.0,-11,-9.0,1022.0,cv,1.78,25,0
2010-01-03 20:00:00,71.0,-10,-9.0,1022.0,NW,4.02,26,0
2010-01-03 21:00:00,72.0,-11,-10.0,1023.0,NW,7.15,27,0
2010-01-03 22:00:00,76.0,-11,-9.0,1023.0,NW,11.17,0,0
2010-01-03 23:00:00,73.0,-12,-11.0,1023.0,NW,14.3,0,0
2010-01-04 00:00:00,79.0,-14,-12.0,1023.0,NW,16.09,0,0
2010-01-04 01:00:00,58.0,-16,-9.0,1023.0,NW,21.9,0,0
2010-01-04 02:00:00,25.0,-17,-10.0,1024.0,NW,29.95,0,0
2010-01-04 03:00:00,26.0,-18,-11.0,1024.0,NW,39.78,0,0
2010-01-04 04:00:00,28.0,-19,-11.0,1025.0,NW,48.72,0,0
2010-01-04 05:00:00,26.0,-20,-12.0,1026.0,NW,55.87,0,0
2010-01-04 06:00:00,20.0,-21,-12.0,1027.0,NW,64.81,0,0
2010-01-04 07:00:00,29.0,-21,-13.0,1027.0,NW,73.75,0,0
2010-01-04 08:00:00,26.0,-22,-13.0,1028.0,NW,80.9,0,0
2010-01-04 09:00:00,27.0,-22,-13.0,1029.0,NW,90.73,0,0
2010-01-04 10:00:00,27.0,-22,-12.0,1030.0,NW,100.56,0,0
2010-01-04 11:00:00,25.0,-23,-12.0,1031.0,NW,108.61,0,0
2010-01-04 12:00:00,29.0,-21,-11.0,1030.0,NW,117.55,0,0
2010-01-04 13:00:00,32.0,-20,-10.0,1030.0,NW,127.38,0,0
2010-01-04 14:00:00,28.0,-21,-10.0,1030.0,NW,136.32,0,0
2010-01-04 15:00:00,29.0,-21,-9.0,1030.0,NW,145.26,0,0
2010-01-04 16:00:00,30.0,-21,-9.0,1031.0,NW,152.41,0,0
2010-01-04 17:00:00,30.0,-20,-11.0,1032.0,NW,159.56,0,0
2010-01-04 18:00:00,28.0,-23,-11.0,1032.0,NW,165.37,0,0
2010-01-04 19:00:00,26.0,-21,-12.0,1033.0,NW,171.18,0,0
2010-01-04 20:00:00,31.0,-24,-12.0,1034.0,NW,180.12,0,0
2010-01-04 21:00:00,33.0,-24,-13.0,1034.0,NW,187.27,0,0
2010-01-04 22:00:00,29.0,-24,-13.0,1035.0,NW,195.32,0,0
2010-01-04 23:00:00,31.0,-26,-15.0,1035.0,NW,198.45,0,0
2010-01-05 00:00:00,30.0,-26,-17.0,1035.0,NW,201.58,0,0
2010-01-05 01:00:00,34.0,-26,-18.0,1035.0,NW,205.6,0,0
2010-01-05 02:00:00,27.0,-26,-19.0,1035.0,NW,208.73,0,0
2010-01-05 03:00:00,25.0,-27,-18.0,1035.0,NW,213.65,0,0
2010-01-05 04:00:00,28.0,-27,-19.0,1035.0,NW,218.57,0,0
2010-01-05 05:00:00,28.0,-27,-16.0,1034.0,NE,4.92,0,0
2010-01-05 06:00:00,27.0,-26,-16.0,1035.0,NE,8.05,0,0
2010-01-05 07:00:00,27.0,-27,-16.0,1034.0,NE,13.86,0,0
2010-01-05 08:00:00,27.0,-26,-16.0,1035.0,NE,18.78,0,0
2010-01-05 09:00:00,29.0,-26,-15.0,1035.0,NE,24.59,0,0
2010-01-05 10:00:00,36.0,-25,-14.0,1035.0,NE,29.51,0,0
2010-01-05 11:00:00,30.0,-25,-13.0,1035.0,NE,34.43,0,0
2010-01-05 12:00:00,27.0,-25,-12.0,1034.0,NE,39.35,0,0
2010-01-05 13:00:00,39.0,-24,-11.0,1032.0,NE,41.14,0,0
2010-01-05 14:00:00,41.0,-22,-11.0,1032.0,cv,0.89,0,0
2010-01-05 15:00:00,33.0,-23,-11.0,1031.0,NW,1.79,0,0
2010-01-05 16:00:00,50.0,-24,-11.0,1031.0,NW,3.58,0,0
2010-01-05 17:00:00,56.0,-23,-11.0,1031.0,NW,5.37,0,0
2010-01-05 18:00:00,59.0,-23,-11.0,1032.0,NW,7.16,0,0
2010-01-05 19:00:00,60.0,-22,-13.0,1033.0,NW,10.29,0,0
2010-01-05 20:00:00,84.0,-22,-12.0,1033.0,NW,13.42,0,0
2010-01-05 21:00:00,106.0,-24,-18.0,1033.0,NW,16.55,0,0
2010-01-05 22:00:00,66.0,-22,-13.0,1034.0,NW,20.57,0,0
2010-01-05 23:00:00,50.0,-22,-16.0,1033.0,NW,23.7,0,0
2010-01-06 00:00:00,56.0,-25,-17.0,1033.0,NW,26.83,0,0
2010-01-06 01:00:00,77.0,-25,-14.0,1033.0,NE,4.02,0,0
2010-01-06 02:00:00,50.0,-26,-14.0,1034.0,NE,8.04,0,0
2010-01-06 03:00:00,44.0,-26,-14.0,1033.0,NE,13.85,0,0
2010-01-06 04:00:00,27.0,-26,-14.0,1033.0,NE,17.87,0,0
2010-01-06 05:00:00,28.0,-26,-14.0,1033.0,NE,23.68,0,0
2010-01-06 06:00:00,21.0,-26,-14.0,1033.0,NE,28.6,0,0
2010-01-06 07:00:00,25.0,-26,-15.0,1034.0,NE,33.52,0,0
2010-01-06 08:00:00,20.0,-26,-14.0,1034.0,NE,39.33,0,0
2010-01-06 09:00:00,29.0,-25,-13.0,1035.0,NE,44.25,0,0
2010-01-06 10:00:00,34.0,-25,-12.0,1035.0,NE,50.06,0,0
2010-01-06 11:00:00,42.0,-24,-11.0,1035.0,NE,54.98,0,0
2010-01-06 12:00:00,28.0,-24,-10.0,1034.0,NE,59.0,0,0
2010-01-06 13:00:00,36.0,-22,-10.0,1033.0,NW,4.02,0,0
2010-01-06 14:00:00,48.0,-22,-9.0,1033.0,NW,5.81,0,0
2010-01-06 15:00:00,49.0,-22,-8.0,1033.0,cv,0.89,0,0
2010-01-06 16:00:00,52.0,-22,-8.0,1033.0,NW,1.79,0,0
2010-01-06 17:00:00,56.0,-21,-9.0,1033.0,NW,3.58,0,0
2010-01-06 18:00:00,96.0,-22,-9.0,1033.0,NW,5.37,0,0
2010-01-06 19:00:00,75.0,-22,-14.0,1034.0,cv,0.89,0,0
2010-01-06 20:00:00,105.0,-22,-12.0,1035.0,NW,1.79,0,0
2010-01-06 21:00:00,132.0,-21,-14.0,1034.0,NW,3.58,0,0
2010-01-06 22:00:00,93.0,-22,-16.0,1035.0,NW,5.37,0,0
2010-01-06 23:00:00,131.0,-21,-16.0,1035.0,NW,7.16,0,0
2010-01-07 00:00:00,127.0,-21,-16.0,1035.0,NW,8.95,0,0
2010-01-07 01:00:00,130.0,-21,-16.0,1035.0,cv,0.45,0,0
2010-01-07 02:00:00,43.0,-22,-18.0,1036.0,cv,1.34,0,0
2010-01-07 03:00:00,37.0,-23,-15.0,1036.0,NW,4.02,0,0
2010-01-07 04:00:00,30.0,-24,-16.0,1035.0,NW,7.15,0,0
2010-01-07 05:00:00,28.0,-25,-15.0,1035.0,NW,10.28,0,0
2010-01-07 06:00:00,24.0,-24,-15.0,1035.0,NW,14.3,0,0
2010-01-07 07:00:00,23.0,-25,-13.0,1036.0,NE,4.92,0,0
2010-01-07 08:00:00,24.0,-24,-14.0,1036.0,NW,4.02,0,0
2010-01-07 09:00:00,27.0,-23,-12.0,1036.0,NW,8.94,0,0
2010-01-07 10:00:00,40.0,-22,-11.0,1036.0,NW,12.96,0,0
2010-01-07 11:00:00,42.0,-20,-10.0,1036.0,NW,16.09,0,0
2010-01-07 12:00:00,42.0,-21,-9.0,1035.0,NW,19.22,0,0
2010-01-07 13:00:00,55.0,-21,-8.0,1034.0,NW,21.01,0,0
2010-01-07 14:00:00,52.0,-20,-7.0,1033.0,NW,22.8,0,0
2010-01-07 15:00:00,51.0,-20,-7.0,1032.0,NW,24.59,0,0
2010-01-07 16:00:00,57.0,-18,-8.0,1032.0,NW,26.38,0,0
2010-01-07 17:00:00,50.0,-19,-9.0,1032.0,NW,28.17,0,0
2010-01-07 18:00:00,54.0,-19,-11.0,1032.0,NE,0.89,0,0
2010-01-07 19:00:00,67.0,-18,-11.0,1033.0,NW,1.79,0,0
2010-01-07 20:00:00,106.0,-19,-15.0,1032.0,NE,1.79,0,0
2010-01-07 21:00:00,159.0,-19,-14.0,1032.0,cv,0.45,0,0
2010-01-07 22:00:00,198.0,-21,-14.0,1032.0,cv,1.34,0,0
2010-01-07 23:00:00,190.0,-21,-16.0,1032.0,cv,2.23,0,0
2010-01-08 00:00:00,210.0,-21,-17.0,1031.0,NW,1.79,0,0
2010-01-08 01:00:00,195.0,-19,-16.0,1031.0,NW,3.58,0,0
2010-01-08 02:00:00,275.0,-20,-16.0,1031.0,NE,0.89,0,0
2010-01-08 03:00:00,164.0,-19,-15.0,1030.0,SE,0.89,0,0
2010-01-08 04:00:00,110.0,-18,-15.0,1030.0,cv,0.45,0,0
2010-01-08 05:00:00,100.0,-18,-15.0,1029.0,cv,1.34,0,0
2010-01-08 06:00:00,81.0,-18,-15.0,1029.0,NW,1.79,0,0
2010-01-08 07:00:00,71.0,-16,-13.0,1029.0,NE,0.89,0,0
2010-01-08 08:00:00,66.0,-16,-12.0,1029.0,SE,0.89,0,0
2010-01-08 09:00:00,92.0,-16,-12.0,1030.0,SE,1.78,0,0
2010-01-08 10:00:00,135.0,-17,-10.0,1030.0,NE,0.89,0,0
2010-01-08 11:00:00,155.0,-16,-10.0,1029.0,cv,0.89,0,0
2010-01-08 12:00:00,198.0,-16,-9.0,1028.0,SE,3.13,0,0
2010-01-08 13:00:00,250.0,-15,-8.0,1026.0,SE,4.92,0,0
2010-01-08 14:00:00,200.0,-16,-8.0,1026.0,cv,0.89,0,0
2010-01-08 15:00:00,231.0,-16,-8.0,1025.0,cv,1.78,0,0
2010-01-08 16:00:00,250.0,-16,-8.0,1025.0,cv,2.67,0,0
2010-01-08 17:00:00,212.0,-17,-8.0,1025.0,SE,0.89,0,0
2010-01-08 18:00:00,219.0,-17,-9.0,1026.0,cv,0.45,0,0
2010-01-08 19:00:00,227.0,-17,-11.0,1026.0,cv,1.34,0,0
2010-01-08 20:00:00,226.0,-17,-12.0,1026.0,cv,1.79,0,0
2010-01-08 21:00:00,225.0,-18,-14.0,1027.0,NW,1.79,0,0
2010-01-08 22:00:00,168.0,-16,-9.0,1027.0,NW,4.92,0,0
2010-01-08 23:00:00,169.0,-16,-11.0,1027.0,NW,6.71,0,0
2010-01-09 00:00:00,165.0,-17,-13.0,1027.0,cv,0.89,0,0
2010-01-09 01:00:00,159.0,-17,-13.0,1027.0,NW,3.13,0,0
2010-01-09 02:00:00,167.0,-17,-14.0,1027.0,NW,4.92,0,0
2010-01-09 03:00:00,196.0,-17,-15.0,1027.0,NW,8.05,0,0
2010-01-09 04:00:00,169.0,-17,-13.0,1027.0,NW,9.84,0,0
2010-01-09 05:00:00,155.0,-19,-16.0,1027.0,NW,13.86,0,0
2010-01-09 06:00:00,119.0,-18,-15.0,1027.0,NW,17.88,0,0
2010-01-09 07:00:00,106.0,-19,-15.0,1027.0,NW,21.9,0,0
2010-01-09 08:00:00,93.0,-18,-14.0,1028.0,NW,25.92,0,0
2010-01-09 09:00:00,84.0,-18,-9.0,1029.0,NE,5.81,0,0
2010-01-09 10:00:00,73.0,-17,-7.0,1029.0,NE,11.62,0,0
2010-01-09 11:00:00,66.0,-17,-6.0,1030.0,NE,17.43,0,0
2010-01-09 12:00:00,40.0,-16,-6.0,1029.0,NE,23.24,0,0
2010-01-09 13:00:00,49.0,-16,-5.0,1029.0,NE,28.16,0,0
2010-01-09 14:00:00,50.0,-15,-4.0,1029.0,NE,33.08,0,0
2010-01-09 15:00:00,49.0,-14,-4.0,1028.0,NE,37.1,0,0
2010-01-09 16:00:00,41.0,-15,-4.0,1029.0,NE,38.89,0,0
2010-01-09 17:00:00,37.0,-15,-4.0,1030.0,NW,1.79,0,0
2010-01-09 18:00:00,45.0,-15,-7.0,1030.0,NE,3.13,0,0
2010-01-09 19:00:00,44.0,-15,-6.0,1031.0,NW,3.13,0,0
2010-01-09 20:00:00,54.0,-15,-7.0,1032.0,NW,4.92,0,0
2010-01-09 21:00:00,50.0,-15,-6.0,1032.0,NE,3.13,0,0
2010-01-09 22:00:00,47.0,-15,-8.0,1033.0,cv,0.45,0,0
2010-01-09 23:00:00,66.0,-15,-8.0,1033.0,cv,0.9,0,0
2010-01-10 00:00:00,75.0,-15,-11.0,1033.0,NW,0.89,0,0
2010-01-10 01:00:00,82.0,-17,-13.0,1033.0,NW,1.78,0,0
2010-01-10 02:00:00,66.0,-17,-12.0,1033.0,NW,4.91,0,0
2010-01-10 03:00:00,83.0,-17,-13.0,1033.0,NW,8.04,0,0
2010-01-10 04:00:00,62.0,-19,-14.0,1032.0,NW,9.83,0,0
2010-01-10 05:00:00,40.0,-18,-13.0,1032.0,NW,12.96,0,0
2010-01-10 06:00:00,23.0,-19,-13.0,1032.0,NW,16.09,0,0
